ID	ชื่อรถ	IMEI	LastUpdate	วันที่ออฟไลน์	สถานะ
260	93-2499 กรุงเทพ	359857083674465	2026-08-25T01:54:47.337+00:00	ออฟไลน์ < 24 ชม.	truck
259	93-5950 กรุงเทพ	142181256816	ไม่เคยออนไลน์	ไม่เคยออนไลน์	truck
261	93-8397 กรุงเทพ	359857081692667	ไม่เคยออนไลน์	ไม่เคยออนไลน์	truck
263	96-3964 กรุงเทพ	143190668559	ไม่เคยออนไลน์	ไม่เคยออนไลน์	truck
266	97-4640 กรุงเทพ	863835027685119	ไม่เคยออนไลน์	ไม่เคยออนไลน์	truck
265	97-4641 กรุงเทพ	143190871708	ไม่เคยออนไลน์	ไม่เคยออนไลน์	truck
264	97-4642 กรุงเทพ	143190566246	ไม่เคยออนไลน์	ไม่เคยออนไลน์	truck
49	FM1JNKA10416	142181256865	ไม่เคยออนไลน์	ไม่เคยออนไลน์	car
57	MP1FXZ777GT001793	868998032673739	ไม่เคยออนไลน์	ไม่เคยออนไลน์	truck
58	VT200L 82-3665	860503074933161	2026-08-25T18:22:35.268+00:00	ออฟไลน์ < 24 ชม.	truck
111	VTP บษ-2520 พระนครศรีอยุธยา	864895034288058	ไม่เคยออนไลน์	ไม่เคยออนไลน์	car
212	[UCHA-11] ขย-8280 ระยอง	13813131883	ไม่เคยออนไลน์	ไม่เคยออนไลน์	car
215	[UCHA05] ผน-6754 ระยอง	359857081688368	ไม่เคยออนไลน์	ไม่เคยออนไลน์	car
222	กธ-4191 สระบุรี	13813131837	ไม่เคยออนไลน์	ไม่เคยออนไลน์	car
219	กธ-5005 สระบุรี	359857082428798	2026-08-24T22:35:19.551+00:00	ออฟไลน์ 1-7 วัน	car
135	ฒบ-2166\tพระนครศรีอยุธยา	864180036730021	ไม่เคยออนไลน์	ไม่เคยออนไลน์	car
144	บธ-1304 รถจอดซ่อมอยู่อู่ พระนครศรีอยุธยา	864180036774052	2026-08-26T01:44:01.605+00:00	ออฟไลน์ < 24 ชม.	car
278	บธ-7447	864507031227787	ไม่เคยออนไลน์	ไม่เคยออนไลน์	pickup
277	บธ-7667	864507031206815	ไม่เคยออนไลน์	ไม่เคยออนไลน์	pickup
138	บน-8692 พระนครศรีอยุธยา	359857082152497	2026-08-24T22:40:52.083+00:00	ออฟไลน์ 1-7 วัน	car
139	บน-8693 พระนครศรีอยุธยา	864180036728058	2026-08-25T09:28:33.721+00:00	ออฟไลน์ < 24 ชม.	car
221	บล-8209 สระบุรี	13813131836	ไม่เคยออนไลน์	ไม่เคยออนไลน์	car
224	บว-7094 กรุงเทพ	869103022776225	ไม่เคยออนไลน์	ไม่เคยออนไลน์	car
115	บษ-1445 พระนครศรีอยุธยา	864895034287878	ไม่เคยออนไลน์	ไม่เคยออนไลน์	car
108	บษ-3850 พระนครศรีอยุธยา	864895034782811	2026-08-26T02:49:33.828+00:00	ออฟไลน์ < 24 ชม.	car
100	บห-9468 พระนครศรีอยุธยา	868166052362225	2026-08-26T03:52:40.832+00:00	ออฟไลน์ < 24 ชม.	car
95	บห-9470 พระนครศรีอยุธยา	860470068268899	ไม่เคยออนไลน์	ไม่เคยออนไลน์	car
87	ผก-7065 พระนครศรีอยุธยา	868166059226902	2026-08-26T03:25:10.249+00:00	ออฟไลน์ < 24 ชม.	car
86	ผก-8019 พระนครศรีอยุธยา	359857082431479	2026-08-24T22:45:48.548+00:00	ออฟไลน์ 1-7 วัน	car
93	ผก-802\tพระนครศรีอยุธยา	862205058162167	ไม่เคยออนไลน์	ไม่เคยออนไลน์	car
84	ผก-8020 พระนครศรีอยุธยา	359857081693285	2026-08-26T03:00:26.340+00:00	ออฟไลน์ < 24 ชม.	car
209	ผน-6360 ระยอง	868683021690700	ไม่เคยออนไลน์	ไม่เคยออนไลน์	car
180	เทส 359857080825722	359857080825722	2026-08-12T17:13:13.004+00:00	ออฟไลน์ > 7 วัน	car
175	เทส 359857081515488	359857081515488	2026-08-13T09:22:06.016+00:00	ออฟไลน์ > 7 วัน	car
178	เทส 359857081535791	359857081535791	2026-08-18T14:40:57.418+00:00	ออฟไลน์ 1-7 วัน	car
206	เทส 359857081851347	359857081851347	2026-08-15T14:35:22.927+00:00	ออฟไลน์ > 7 วัน	car
251	เทส 359857082306689  70-3743 เลย	359857082306689	2026-08-20T19:01:36.397+00:00	ออฟไลน์ 1-7 วัน	car
204	เทส 359857082431719	359857082431719	2026-08-15T14:14:51.387+00:00	ออฟไลน์ > 7 วัน	car
252	เทส 359857082904881	359857082904881	ไม่เคยออนไลน์	ไม่เคยออนไลน์	car
